0.4762058,0.8105381,1.094324,0.7388457,0.7850276,0.4784879,0.535664
0.6670243,0.9186222,0.6874722,0.6716682,0.7995992,0.6322313,0.5954239
0.7882869,0.5458112,0.5682511,0.5107294,0.8075625,0.8054008,0.7675726
0.5305713,0.4812541,0.4753829,0.8852489,0.7936295,0.8809394,0.8505728
0.9359555,0.8119417,0.5880937,0.529119,0.5209646,0.8854882,0.571207
0.6739739,0.6390571,0.7799461,0.6494808,0.655058,0.8186814,0.7375546
0.761424,0.5276001,0.4735292,0.660248,0.5735981,0.6216431,0.5206586
0.7522526,0.5250267,0.757582,0.7604725,0.8244699,0.5328594,0.8510397
0.5504511,0.7619295,1.127405,0.657137,0.7409554,0.5618258,0.5428717
0.8330882,0.5279924,0.7919277,0.8374997,0.8649534,0.6626778,0.5226229
